,Date,Time,Location,Turbidity,E_coli,Flow,Gage_height,sinDOY,Prcp,Awnd,Tavg,Tmax,Tmin,Wdf2,Prev_two_prcp,Prev_three_prcp,Prev_five_prcp
37,2022-07-12,11:58:00,Highway 100,19.75,93.3,117.0,1.49,0.941317318,0.0,3.3,28.5,35.0,23.3,360.0,0.0,59.4,82.0
38,2022-07-19,11:32:00,Highway 100,16.740000000000002,42.8,48.4,1.23,0.893918597,0.0,2.5,26.8,32.8,22.8,180.0,12.400000000000007,12.4,12.4
39,2022-07-26,10:55:00,Highway 100,22.450000000000003,48.0,48.3,1.22,0.833555772,1.8,2.8,26.9,34.4,23.9,320.0,10.200000000000006,10.2,10.5
40,2022-08-16,11:00:00,Highway 100,17.83,73.8,103.0,1.46,0.584298174,0.5,2.6,24.2,26.1,21.1,350.0,0.0,0.0,0.0
41,2022-08-23,09:19:00,Highway 100,44.900000000000006,139.1,136.0,1.56,0.482507742,0.0,1.3,25.7,32.2,19.4,20.0,0.0,3.3,20.1
42,2022-08-30,09:58:00,Highway 100,28.8,248.9,62.5,1.3,0.373719715,0.0,1.7,25.6,31.1,21.1,320.0,0.8000000000000071,0.8,1.6
43,2022-09-20,10:52:00,Highway 100,6.43,145.0,61.6,1.24,,0.0,2.4,29.3,37.2,22.8,10.0,0.0,0.0,0.0
44,2023-05-30,09:40:00,Highway 100,6.495,59.4,174,1.73,,0.0,1.0,22.3,30.0,15.0,110.0,0.0,0.0,0.0
45,2023-06-06,09:00:00,Highway 100,0.95,122.3,116,1.55,,0.0,1.6,25.8,32.2,16.7,360.0,2.500000000000007,2.5,2.5
46,2023-06-13,11:22:00,Highway 100,10.32,120.1,97.6,1.49,,0.0,2.5,19.7,26.7,12.2,250.0,9.900000000000007,9.9,9.9
47,2023-06-20,10:26:00,Highway 100,19.4,727.0,147,1.65,,8.6,2.9,22.8,28.9,21.1,10.0,22.90000000000001,22.9,22.9
48,2023-06-27,10:30:00,Highway 100,14.22,142.1,86.4,1.45,,0.0,2.6,26.4,31.7,19.4,290.0,0.0,0.0,0.8
49,2023-07-11,11:45:00,Highway 100,19.9,101.7,181,1.75,,0.0,0.9,24.6,31.7,17.2,150.0,3.000000000000007,13.7,20.6
50,2023-07-18,10:48:00,Highway 100,11.33,59.8,132,1.60,,29.2,2.6,27.2,32.8,21.1,290.0,0.0,15.0,15.0
51,2023-07-25,10:00:00,Highway 100,7.73,65.1,382,2.24,,0.0,2.5,26.6,33.9,21.1,270.0,0.5000000000000071,0.5,5.1
52,2023-08-01,10:18:00,Highway 100,7.51,40.5,135,1.63,,0.0,2.9,26.4,31.7,21.1,50.0,0.5000000000000071,28.7,29.0
53,2023-08-22,08:00:00,Highway 100,7.37,11.9,167,1.73,,0.0,2.5,29.4,35.6,24.4,40.0,0.0,0.0,0.0
54,2023-09-05,09:41:00,Highway 100,14.365,125.9,66.2,1.39,,5.8,1.7,26.9,32.8,23.3,290.0,0.0,0.0,0.0
55,2023-09-12,10:30:00,Highway 100,12.115,78.0,42.9,1.28,,0.0,2.3,23.3,25.6,19.4,20.0,0.0,0.0,0.0
